C:\Users\USER\anaconda3\envs\rl_3.9\python.exe C:\Users\USER\anaconda3\envs\rl_3.9\Project#2\pong_ppo.py 
A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
Episode 3400, Total Reward: 7.00
Episode 3410, Total Reward: 4.00
Episode 3420, Total Reward: 3.00
Episode 3430, Total Reward: 4.00
Episode 3440, Total Reward: 13.00
Episode 3450, Total Reward: 12.00
Episode 3460, Total Reward: 16.00
Episode 3470, Total Reward: 14.00
Episode 3480, Total Reward: 2.00
Episode 3490, Total Reward: 10.00
Episode 3500, Total Reward: 19.00
Episode 3510, Total Reward: 13.00
Episode 3520, Total Reward: 14.00
Episode 3530, Total Reward: 13.00
Episode 3540, Total Reward: 11.00
Episode 3550, Total Reward: 16.00
Episode 3560, Total Reward: 15.00
Episode 3570, Total Reward: 13.00
Episode 3580, Total Reward: 17.00
Episode 3590, Total Reward: 13.00
Episode 3600, Total Reward: 6.00
Episode 3610, Total Reward: 17.00
Episode 3620, Total Reward: -9.00
Episode 3630, Total Reward: 21.00
Episode 3640, Total Reward: 18.00
Episode 3650, Total Reward: 18.00
Episode 3660, Total Reward: 17.00
Episode 3670, Total Reward: 9.00
Episode 3680, Total Reward: 17.00
Episode 3690, Total Reward: 18.00
Episode 3700, Total Reward: 9.00
Episode 3710, Total Reward: 16.00
Episode 3720, Total Reward: 16.00
Episode 3730, Total Reward: 16.00
Episode 3740, Total Reward: 11.00
Episode 3750, Total Reward: 10.00
Episode 3760, Total Reward: 14.00
Episode 3770, Total Reward: 8.00
Episode 3780, Total Reward: 19.00
Episode 3790, Total Reward: 11.00
Episode 3800, Total Reward: 15.00
Episode 3810, Total Reward: 12.00
Episode 3820, Total Reward: 17.00
Episode 3830, Total Reward: 5.00
Episode 3840, Total Reward: 13.00
Episode 3850, Total Reward: 11.00
Episode 3860, Total Reward: 13.00
Episode 3870, Total Reward: 13.00
Episode 3880, Total Reward: 17.00
Episode 3890, Total Reward: 17.00
Episode 3900, Total Reward: 14.00
Episode 3910, Total Reward: 2.00
Episode 3920, Total Reward: 18.00
Episode 3930, Total Reward: 6.00
Episode 3940, Total Reward: 15.00
Episode 3950, Total Reward: 12.00
Episode 3960, Total Reward: 10.00
Episode 3970, Total Reward: 15.00
Episode 3980, Total Reward: 16.00
Episode 3990, Total Reward: 10.00
Episode 4000, Total Reward: 14.00
Episode 4010, Total Reward: 13.00
Episode 4020, Total Reward: 13.00
Episode 4030, Total Reward: 18.00
Episode 4040, Total Reward: 13.00
Episode 4050, Total Reward: 10.00
Episode 4060, Total Reward: 18.00
Episode 4070, Total Reward: 16.00
Episode 4080, Total Reward: 12.00
Episode 4090, Total Reward: 16.00
Episode 4100, Total Reward: 12.00
Episode 4110, Total Reward: 13.00
Episode 4120, Total Reward: 15.00
Episode 4130, Total Reward: 19.00
Episode 4140, Total Reward: 12.00
Episode 4150, Total Reward: 10.00
Episode 4160, Total Reward: 14.00
Episode 4170, Total Reward: 17.00
Episode 4180, Total Reward: 13.00
Episode 4190, Total Reward: 15.00
Episode 4200, Total Reward: 13.00
Episode 4210, Total Reward: 17.00
Episode 4220, Total Reward: 18.00
Episode 4230, Total Reward: 14.00
Episode 4240, Total Reward: 14.00
Episode 4250, Total Reward: 17.00
Episode 4260, Total Reward: 6.00
Episode 4270, Total Reward: 14.00
Episode 4280, Total Reward: 15.00
Episode 4290, Total Reward: 15.00
Episode 4300, Total Reward: 15.00
Episode 4310, Total Reward: 16.00
Episode 4320, Total Reward: 17.00
Episode 4330, Total Reward: 17.00
Episode 4340, Total Reward: 5.00
Episode 4350, Total Reward: 13.00
Episode 4360, Total Reward: 8.00
Episode 4370, Total Reward: 10.00
Episode 4380, Total Reward: 15.00
Episode 4390, Total Reward: 18.00
Episode 4400, Total Reward: 9.00
Episode 4410, Total Reward: 14.00
Episode 4420, Total Reward: 14.00
Episode 4430, Total Reward: 13.00
Episode 4440, Total Reward: 18.00
Episode 4450, Total Reward: -3.00
Episode 4460, Total Reward: 15.00
Episode 4470, Total Reward: 15.00
Episode 4480, Total Reward: 15.00
Episode 4490, Total Reward: 16.00
Episode 4500, Total Reward: 13.00
Episode 4510, Total Reward: 14.00
Episode 4520, Total Reward: 14.00
Episode 4530, Total Reward: -21.00
Episode 4540, Total Reward: 10.00
Episode 4550, Total Reward: 15.00
Episode 4560, Total Reward: 16.00
Episode 4570, Total Reward: 16.00
Episode 4580, Total Reward: 8.00
Episode 4590, Total Reward: 12.00
Episode 4600, Total Reward: 14.00
Episode 4610, Total Reward: 18.00
Episode 4620, Total Reward: 1.00
Episode 4630, Total Reward: 18.00
Episode 4640, Total Reward: 16.00
Episode 4650, Total Reward: 11.00
Episode 4660, Total Reward: 16.00
Episode 4670, Total Reward: 17.00
Episode 4680, Total Reward: 16.00
Episode 4690, Total Reward: 14.00
Episode 4700, Total Reward: 12.00
Episode 4710, Total Reward: 16.00
Episode 4720, Total Reward: 12.00
Episode 4730, Total Reward: 17.00
Episode 4740, Total Reward: -10.00
Episode 4750, Total Reward: 17.00
Episode 4760, Total Reward: 2.00
Episode 4770, Total Reward: 19.00
Episode 4780, Total Reward: 6.00
Episode 4790, Total Reward: 20.00
Episode 4800, Total Reward: 14.00
Episode 4810, Total Reward: 18.00
Episode 4820, Total Reward: 16.00
Episode 4830, Total Reward: 15.00
Episode 4840, Total Reward: 18.00
Episode 4850, Total Reward: -14.00
Episode 4860, Total Reward: 20.00
Episode 4870, Total Reward: 11.00
Episode 4880, Total Reward: 14.00
